,max_depth,learning_rate,n_estimators,train_rmse,valid_rmse
80,5,0.7,50,153.6597497509193,271.95889012882344
81,5,0.7,100,112.57018246701217,284.94661694528077
82,5,0.7,150,85.04429124266099,287.1126615212813
83,5,0.7,300,42.11233815514137,291.0298356706329
84,5,0.7,500,18.024119280903232,297.5833886105174
85,5,0.1,50,223.17256368599283,253.0264710537216
86,5,0.1,100,204.5865875204081,248.1348777681139
87,5,0.1,150,192.50965600454052,246.64288762084857
88,5,0.1,300,158.0047801297169,249.30175668171896
89,5,0.1,500,124.84433497466186,254.49420288578884
90,5,0.12,50,218.10920289066965,251.03156988819686
91,5,0.12,100,199.5995991979944,246.90711800338113
92,5,0.12,150,183.0598114322153,245.87811138104476
93,5,0.12,300,143.14615920518375,249.71933643182663
94,5,0.12,500,111.4027172178484,255.38902028162025
95,5,0.15,50,210.41431416497707,249.58043169151455
96,5,0.15,100,187.69292109829465,248.5547699888508
97,5,0.15,150,166.22483250744395,248.7883701841211
98,5,0.15,300,128.14507581891505,253.51570450104668
99,5,0.15,500,97.56681553955673,256.7184329891374
100,6,0.05,50,234.12218781375782,261.686632193185
101,6,0.05,100,199.1457509595865,245.28016282448544
102,6,0.05,150,187.58826134688772,244.50109673191074
103,6,0.05,300,160.43713968033114,243.37894989709372
104,6,0.05,500,127.17981649538166,245.69269513740286
105,6,0.7,50,110.58576827619119,290.22359145564445
106,6,0.7,100,66.79814066752648,292.4171161476471
107,6,0.7,150,41.82767011958458,295.05238617867053
108,6,0.7,300,12.851520007897813,298.83861436931767
109,6,0.7,500,4.485976952496395,300.00264319275243
110,6,0.1,50,200.2185855611871,243.83136188237313
111,6,0.1,100,178.13941901840002,243.53677168544314
112,6,0.1,150,157.74644684929854,244.35409273822302
113,6,0.1,300,113.56295519006851,245.0241702518537
114,6,0.1,500,82.79603329783207,249.0492269375148
115,6,0.12,50,194.66884061793584,246.75773125230296
116,6,0.12,100,171.6556285939058,245.96212286567823
117,6,0.12,150,151.0788810060208,246.82691955727947
118,6,0.12,300,105.26195324680164,250.69134971477092
119,6,0.12,500,73.49836078156638,255.58569885852748
120,6,0.15,50,188.1360647215149,245.68255574849476
121,6,0.15,100,156.8411803659034,244.74695433251304
122,6,0.15,150,135.1443725316962,246.46415861911862
123,6,0.15,300,88.65759782876349,249.1649757925448
124,6,0.15,500,60.104117949193885,255.93043353692715
