,max_depth,learning_rate,n_estimators,train_rmse,valid_rmse
0,2,0.05,50,388.4346433748864,396.8593188524754
1,2,0.05,100,330.0442357597972,337.87636803436527
2,2,0.05,150,308.2089691584787,317.00841241945795
3,2,0.05,300,273.20579520285486,284.4108719283089
4,2,0.05,500,258.89319890915306,272.1448078669768
5,2,0.7,50,257.118390658176,276.74531992234665
6,2,0.7,100,242.4512877310968,268.81039867821266
7,2,0.7,150,234.0244949702398,267.58517095668117
8,2,0.7,300,219.03487729007534,265.78956924099066
9,2,0.7,500,206.2309156792287,267.09645599307066
10,2,0.1,50,329.02418847343506,337.1634341932811
11,2,0.1,100,289.32232811338645,300.8311420555351
12,2,0.1,150,273.4553462329518,285.45023676020185
13,2,0.1,300,255.1498662691685,269.873080152966
14,2,0.1,500,246.40137424226413,265.0196688121922
15,2,0.12,50,318.08940614682234,326.69631647133957
16,2,0.12,100,279.73777501144286,290.77830529142767
17,2,0.12,150,265.22347078673073,277.06476148101893
18,2,0.12,300,250.37885832674317,266.40814183174325
19,2,0.12,500,242.07554540778705,262.8399275616411
20,2,0.15,50,303.0068917872797,311.79851895669594
21,2,0.15,100,269.2859542614836,280.6047324135593
22,2,0.15,150,258.96662743905887,271.5301634747071
23,2,0.15,300,246.46221438015888,265.00232109152074
24,2,0.15,500,237.67144121371905,260.9923492004202
25,3,0.05,50,323.1136244443581,333.7979598442676
26,3,0.05,100,276.46205231586345,291.0281535801718
27,3,0.05,150,258.27150375673807,275.5632912004014
28,3,0.05,300,238.93529391642454,261.26581046113995
29,3,0.05,500,227.38467562423006,256.7627955219289
30,3,0.7,50,228.46793801288027,268.7632245938844
31,3,0.7,100,207.82341824891944,269.46161122487587
32,3,0.7,150,192.64993296226774,272.3113740998941
33,3,0.7,300,160.41668529847507,277.4943543159667
34,3,0.7,500,135.26509801761708,279.1936141667693
35,3,0.1,50,276.1456830066728,291.9546279062306
36,3,0.1,100,248.41140460822723,269.1756056150182
37,3,0.1,150,238.57996403499783,262.29774404555735
38,3,0.1,300,223.29281552490409,256.81757649487815
39,3,0.1,500,209.6763911277406,254.26139441511282
40,3,0.12,50,269.27047059164556,284.43154602715276
41,3,0.12,100,242.1908725387506,262.38675245337953
42,3,0.12,150,233.6246418588011,258.1762914435374
43,3,0.12,300,218.34233110689934,253.8396017899995
44,3,0.12,500,202.44939117076405,253.39938425166886
45,3,0.15,50,257.66253219639736,274.78588424691145
46,3,0.15,100,239.06510905510268,261.17877389644815
47,3,0.15,150,230.05379245623772,257.4782677016016
48,3,0.15,300,211.88098940330823,254.83780883966998
49,3,0.15,500,195.89307511110863,255.46223911161775
50,4,0.05,50,282.68137559417795,298.47763703461163
51,4,0.05,100,243.61043409991,265.65760643245596
52,4,0.05,150,232.49170227848876,258.9387492056817
53,4,0.05,300,217.1557110054004,253.1662365128542
54,4,0.05,500,201.16464058302446,251.7378254926475
55,4,0.7,50,193.47179469287983,268.57758320290293
56,4,0.7,100,161.93363743598417,275.5878757043873
57,4,0.7,150,137.55221906503795,284.755218669105
58,4,0.7,300,92.9527602248754,292.7224170494065
59,4,0.7,500,62.46005097130388,293.9403741640957
60,4,0.1,50,242.82734873527022,264.66224752154943
61,4,0.1,100,225.42364499784858,255.96806806834414
62,4,0.1,150,216.31058876118587,253.55332981243362
63,4,0.1,300,191.64160848920184,251.8173198713521
64,4,0.1,500,168.62397901177752,253.11001766020496
65,4,0.12,50,238.24595236764372,260.41915630177505
66,4,0.12,100,221.72647585154743,253.69876009763877
67,4,0.12,150,210.47709551738546,253.24719803007187
68,4,0.12,300,184.25370750674887,252.9947327770599
69,4,0.12,500,158.43088352629704,254.21000385929605
70,4,0.15,50,234.33542719139757,260.92936067428224
71,4,0.15,100,215.63598179570502,254.60570557999506
72,4,0.15,150,204.33249693562695,252.17394551218158
73,4,0.15,300,174.45879029177115,252.84136376679376
74,4,0.15,500,146.80571146147713,256.7296592633311
75,5,0.05,50,255.919540407138,275.4966518848212
76,5,0.05,100,222.8683801893383,251.950185562688
77,5,0.05,150,212.7209930065784,248.64539795695873
78,5,0.05,300,192.676443365886,246.66040955348038
79,5,0.05,500,168.67180575344568,246.4625544416738
