"...1","num.trees","mtry","min.node.size","replace","sample.fraction","train_rmse","valid_rmse"
1,100,1,1,TRUE,0.5,498.597497032545,502.961480481429
2,320,1,1,TRUE,0.5,504.98277345452,510.101925212088
3,500,1,1,TRUE,0.5,501.713651192674,506.922585441092
4,100,4,1,TRUE,0.5,264.484083914645,267.198338514018
5,320,4,1,TRUE,0.5,261.353534748795,264.2456544438
6,500,4,1,TRUE,0.5,259.487598255699,262.206125676983
7,100,8,1,TRUE,0.5,211.978366778446,214.329897526244
8,320,8,1,TRUE,0.5,210.387189621755,213.446449984459
9,500,8,1,TRUE,0.5,210.850079491617,214.296430753645
10,100,10,1,TRUE,0.5,205.911400446444,209.362697527832
11,320,10,1,TRUE,0.5,203.419973718994,206.239561660181
12,500,10,1,TRUE,0.5,201.582544643297,206.08867140414
13,100,12,1,TRUE,0.5,199.737431993513,203.529720274661
14,320,12,1,TRUE,0.5,198.12777719026,203.073927662116
15,500,12,1,TRUE,0.5,197.843781270543,201.40475510611
16,100,1,3,TRUE,0.5,505.199577969756,510.80093245984
17,320,1,3,TRUE,0.5,501.318676279593,506.87143268485
18,500,1,3,TRUE,0.5,503.444509352223,508.673692256601
19,100,4,3,TRUE,0.5,261.924954824069,262.505930429022
20,320,4,3,TRUE,0.5,260.008066460385,263.856334922322
21,500,4,3,TRUE,0.5,259.485949427917,261.995377955619
22,100,8,3,TRUE,0.5,215.666374027516,217.028038980651
23,320,8,3,TRUE,0.5,214.230610012104,217.15287260298
24,500,8,3,TRUE,0.5,211.742446851541,214.157024210312
25,100,10,3,TRUE,0.5,208.837092162496,208.419006242273
26,320,10,3,TRUE,0.5,205.691681219355,209.773843405681
27,500,10,3,TRUE,0.5,203.787213715623,208.137470080153
28,100,12,3,TRUE,0.5,202.054142325845,206.610267875817
29,320,12,3,TRUE,0.5,198.988709182116,203.50497471568
30,500,12,3,TRUE,0.5,198.967870806172,203.856891668036
31,100,1,5,TRUE,0.5,512.860418299101,517.926548583425
32,320,1,5,TRUE,0.5,499.552518206299,504.436814616577
33,500,1,5,TRUE,0.5,505.484283673918,511.317891889182
34,100,4,5,TRUE,0.5,264.332940255449,264.883731903446
35,320,4,5,TRUE,0.5,263.792567302174,266.264657365528
36,500,4,5,TRUE,0.5,261.888818500287,263.859586416048
37,100,8,5,TRUE,0.5,216.978063026963,221.139478629208
38,320,8,5,TRUE,0.5,214.996232751963,219.146251129869
39,500,8,5,TRUE,0.5,215.231678024645,217.993922544817
40,100,10,5,TRUE,0.5,208.241349783328,209.70613967176
41,320,10,5,TRUE,0.5,207.018242780302,211.648150220293
42,500,10,5,TRUE,0.5,206.99707699518,211.209643999376
43,100,12,5,TRUE,0.5,203.893231046198,207.421705701141
44,320,12,5,TRUE,0.5,200.23365403275,205.102263162191
45,500,12,5,TRUE,0.5,199.384666729601,204.017389449647
46,100,1,10,TRUE,0.5,502.97419052613,507.588762016024
47,320,1,10,TRUE,0.5,503.620887051528,509.260826787308
48,500,1,10,TRUE,0.5,499.106334652411,503.585094492621
49,100,4,10,TRUE,0.5,271.242668938417,275.16576619708
50,320,4,10,TRUE,0.5,267.741733002816,270.805207137966
51,500,4,10,TRUE,0.5,267.947488310352,269.776216323729
52,100,8,10,TRUE,0.5,224.072444484121,226.086079881998
53,320,8,10,TRUE,0.5,223.370549830941,225.61972196266
54,500,8,10,TRUE,0.5,220.960230844295,225.29420202491
55,100,10,10,TRUE,0.5,217.314450362897,217.871466253883
56,320,10,10,TRUE,0.5,213.115665962201,216.478539358534
57,500,10,10,TRUE,0.5,212.372594174499,215.396555169378
58,100,12,10,TRUE,0.5,211.50040409163,212.086929664977
59,320,12,10,TRUE,0.5,206.233129269836,209.679619043026
60,500,12,10,TRUE,0.5,207.00825299469,210.810575552493
61,100,1,1,FALSE,0.5,505.117274897485,510.000577593236
62,320,1,1,FALSE,0.5,504.717684648171,509.395076987517
63,500,1,1,FALSE,0.5,508.189139909821,513.580159566863
64,100,4,1,FALSE,0.5,253.741123907012,254.588931965449
65,320,4,1,FALSE,0.5,253.095202586657,256.395943966016
66,500,4,1,FALSE,0.5,250.653422324774,253.737960374309
67,100,8,1,FALSE,0.5,202.656453872053,206.008819814937
68,320,8,1,FALSE,0.5,201.435392325676,204.676966106806
69,500,8,1,FALSE,0.5,201.634088512134,205.42900624491
70,100,10,1,FALSE,0.5,198.485006175243,199.536158740182
71,320,10,1,FALSE,0.5,194.88081243175,198.975128462146
72,500,10,1,FALSE,0.5,194.504021816807,198.075313579829
73,100,12,1,FALSE,0.5,193.414208335381,196.559271598817
74,320,12,1,FALSE,0.5,189.100724701969,195.051858417897
75,500,12,1,FALSE,0.5,188.709843969344,193.797676463228
76,100,1,3,FALSE,0.5,501.038497853228,505.955506272213
77,320,1,3,FALSE,0.5,508.524623175073,514.26976718641
78,500,1,3,FALSE,0.5,502.150175696804,507.165000006605
79,100,4,3,FALSE,0.5,255.736450751271,255.838740238824
80,320,4,3,FALSE,0.5,253.319051186828,256.836502187551
81,500,4,3,FALSE,0.5,252.016525805643,254.496540847481
82,100,8,3,FALSE,0.5,208.074170337695,212.33302200763
83,320,8,3,FALSE,0.5,204.009305146932,209.321571828931
84,500,8,3,FALSE,0.5,205.182343177532,208.542151453464
85,100,10,3,FALSE,0.5,195.226620180825,200.561300333859
86,320,10,3,FALSE,0.5,197.405744864132,201.038997154946
87,500,10,3,FALSE,0.5,196.712523557604,200.311659312078
88,100,12,3,FALSE,0.5,195.176354504717,198.501029465511
89,320,12,3,FALSE,0.5,189.879684107614,194.298758051033
90,500,12,3,FALSE,0.5,189.321523065632,194.281516148648
91,100,1,5,FALSE,0.5,503.91244091151,508.772772996759
92,320,1,5,FALSE,0.5,506.089733823401,510.614920462009
93,500,1,5,FALSE,0.5,505.256652258842,510.706182630679
94,100,4,5,FALSE,0.5,256.028185185044,259.212729304533
95,320,4,5,FALSE,0.5,258.285508900674,261.110791743593
96,500,4,5,FALSE,0.5,257.290027984285,260.815080174393
97,100,8,5,FALSE,0.5,210.333201481177,214.602771292359
98,320,8,5,FALSE,0.5,207.20199551001,211.054815767671
99,500,8,5,FALSE,0.5,207.405231462321,210.95791387861
100,100,10,5,FALSE,0.5,201.986462229399,201.683979792308
101,320,10,5,FALSE,0.5,198.807755388981,202.937059798945
102,500,10,5,FALSE,0.5,199.277841633285,203.778523647109
103,100,12,5,FALSE,0.5,193.6543503863,196.823966507382
104,320,12,5,FALSE,0.5,193.587862636622,198.102187645447
105,500,12,5,FALSE,0.5,192.137796216403,197.174241994529
106,100,1,10,FALSE,0.5,503.93062084689,507.73141828843
107,320,1,10,FALSE,0.5,505.816664855,510.449342663753
108,500,1,10,FALSE,0.5,503.665539194433,509.092802095975
109,100,4,10,FALSE,0.5,262.612131533846,265.78078277592
110,320,4,10,FALSE,0.5,263.952500821037,267.994462221325
111,500,4,10,FALSE,0.5,264.730869168657,267.911420951078
112,100,8,10,FALSE,0.5,216.032575088752,219.367497074611
113,320,8,10,FALSE,0.5,217.227933654005,219.970635285143
114,500,8,10,FALSE,0.5,216.164183303028,219.891529575801
115,100,10,10,FALSE,0.5,208.307662845836,212.499243125393
116,320,10,10,FALSE,0.5,206.099765581478,209.552734625899
117,500,10,10,FALSE,0.5,207.002745137733,210.991739213173
118,100,12,10,FALSE,0.5,201.133569438238,203.89435996044
119,320,12,10,FALSE,0.5,200.523475386396,204.434308193229
120,500,12,10,FALSE,0.5,199.079622243151,204.207841555136
121,100,1,1,TRUE,0.63,503.346545183666,508.205233775045
122,320,1,1,TRUE,0.63,502.820599278814,507.462576908097
123,500,1,1,TRUE,0.63,501.603250722814,506.677547626631
124,100,4,1,TRUE,0.63,255.054254645892,257.804255725552
125,320,4,1,TRUE,0.63,254.351564487722,258.286931629593
126,500,4,1,TRUE,0.63,254.475362342618,256.925060984005
127,100,8,1,TRUE,0.63,209.780586989693,211.321415845821
128,320,8,1,TRUE,0.63,205.481950166857,208.907190930243
129,500,8,1,TRUE,0.63,205.967284726336,210.520099515006
130,100,10,1,TRUE,0.63,203.815982313881,205.227629017879
131,320,10,1,TRUE,0.63,197.710848524617,201.707464597951
132,500,10,1,TRUE,0.63,198.344662971558,201.526439515689
133,100,12,1,TRUE,0.63,196.348351337972,196.488964656512
134,320,12,1,TRUE,0.63,191.490749029111,196.394191502275
135,500,12,1,TRUE,0.63,191.113793239457,195.797089012983
136,100,1,3,TRUE,0.63,500.633124345627,505.624200198294
137,320,1,3,TRUE,0.63,502.942529831378,508.16408132913
138,500,1,3,TRUE,0.63,504.123356820703,509.758270932497
139,100,4,3,TRUE,0.63,256.35115399879,257.011053286257
140,320,4,3,TRUE,0.63,256.442717059183,259.143107186796
