,subsample,train_rmse,valid_rmse
0,0.4,7.454263057864879,161.76577946669678
1,0.45,6.278333588575644,159.3904587042001
2,0.5,5.489427981635434,160.29906458803688
3,0.55,4.779537935425279,157.61653497943038
4,0.6,4.323654797028634,155.70331974408202
5,0.65,4.19228265592049,155.79385351775755
6,0.7,3.825220686794366,156.0416346892703
7,0.75,3.6710723012236897,156.81056591554048
8,0.8,3.57700848391373,154.31139407430058
9,0.85,3.38012452356879,160.38375823281697
10,0.9,3.5711304774914225,154.60406402751423
11,0.95,4.030170032778133,156.00800143699442
