,subsample,train_rmse,valid_rmse
0,0.4,32.61596986765048,162.2327000136211
1,0.45,31.783188634129456,165.96999140484564
2,0.5,29.644623629982394,165.11516512795382
3,0.55,27.715395978604246,165.05251753519283
4,0.6,27.587041718504363,159.78098913680907
5,0.65,25.765766869040988,157.55694283217957
6,0.7,24.681593721919107,159.68268908099265
7,0.75,24.852228564589645,158.79378075540237
8,0.8,24.93621798702507,156.81690044867125
9,0.85,24.934577470629293,159.81103100519948
10,0.9,25.6358306706595,157.90045265494538
11,0.95,25.773285554921877,158.12165516248967
