,max_depth,learning_rate,n_estimators,train_rmse,valid_rmse
0,5,0.08,400,90.33324664541044,168.85261646627785
1,5,0.08,500,79.85533932062233,167.7288402613626
2,5,0.08,600,70.67415856869283,165.91394045494184
3,5,0.08,800,57.245541360947435,163.98861646002072
4,5,0.1,400,80.68241919257927,170.1209480602796
5,5,0.1,500,69.78672577005892,169.21294550302142
6,5,0.1,600,61.17324842717629,168.15497351345678
7,5,0.1,800,47.5171528616496,166.14441044962211
8,5,0.12,400,71.16823971896711,167.69463747968203
9,5,0.12,500,60.81382955048049,166.9709800536871
10,5,0.12,600,52.256855777412014,165.71258667455407
11,5,0.12,800,39.706152715931466,165.49534225141159
12,5,0.14,400,65.19575358165645,169.81520225507163
13,5,0.14,500,53.40181573889781,168.89451068268752
14,5,0.14,600,44.319946415016155,168.18054849724595
15,5,0.14,800,32.41185923384784,168.43203951164398
16,6,0.08,400,59.330139750357006,160.83388240624808
17,6,0.08,500,47.78553244598563,159.26207448832065
18,6,0.08,600,40.46699606754786,159.64165443682077
19,6,0.08,800,29.32698928663426,157.66158785222132
20,6,0.1,400,48.680492927129954,161.13393169719978
21,6,0.1,500,40.52325818319046,161.75836469214107
22,6,0.1,600,31.492384083646638,159.4021368034368
23,6,0.1,800,22.253305560559998,160.62368534630735
24,6,0.12,400,40.916843048179224,160.58577575872167
25,6,0.12,500,31.7176555217003,160.84033643248796
26,6,0.12,600,24.76353364727775,159.7148815029269
27,6,0.12,800,16.614278427344615,159.13627840511114
28,6,0.14,400,35.61740880152871,164.36442219871617
29,6,0.14,500,27.055261172773804,163.9806274033667
30,6,0.14,600,20.41545657805165,163.37807590988217
31,6,0.14,800,12.71851341465167,162.54882686763113
32,7,0.08,400,34.38977193161943,158.10703694014904
33,7,0.08,500,26.38313407756096,157.32626475815175
34,7,0.08,600,20.131717050308687,156.15399777439515
35,7,0.08,800,12.679783694503652,156.65067017637983
36,7,0.1,400,25.96638006365682,154.6843657647669
37,7,0.1,500,19.513237813756508,154.48377020521198
38,7,0.1,600,14.467285939471015,154.91237116311456
39,7,0.1,800,8.420474567710388,153.87836033068328
40,7,0.12,400,20.087871812196475,152.87008173499456
41,7,0.12,500,14.31444312809772,152.58009321219373
42,7,0.12,600,10.12460030393361,151.51817008387982
43,7,0.12,800,5.477717666654564,150.5342904663729
44,7,0.14,400,15.799601201583,158.47475089393296
45,7,0.14,500,10.414906198680757,158.41431074584307
46,7,0.14,600,7.155690073507639,158.21908347814605
47,7,0.14,800,3.6608002809066518,157.98661277496436
48,8,0.08,400,16.597239784960248,159.8700030714159
49,8,0.08,500,12.15027986413953,159.6624788906402
50,8,0.08,600,8.761881783035843,159.6449909806519
51,8,0.08,800,4.739997437713347,158.60147948910154
52,8,0.1,400,12.464517580299388,159.3607533699815
53,8,0.1,500,8.262432915619454,158.41955644921978
54,8,0.1,600,5.4880702884278545,158.01108659722186
55,8,0.1,800,2.6423332199799976,158.70581935061935
56,8,0.12,400,8.69085710989326,157.08384240495627
57,8,0.12,500,5.499801803944398,156.92772651977668
58,8,0.12,600,3.4603234808382566,156.82033348482895
59,8,0.12,800,1.439713957813652,156.78271155645007
60,8,0.14,400,6.227531358491304,161.49505019202616
61,8,0.14,500,3.7311547510283956,161.70058523216954
62,8,0.14,600,2.26663293483203,161.36142805176289
63,8,0.14,800,0.8675573636900612,161.8632982809078
